# V_L2 V_L3 RMS_r_mm Treffer
-500 0 2.44139 100
-500 -10 2.07865 100
-500 -20 2.20592 100
-500 -30 2.32669 100
-500 -40 2.52945 100
-500 -50 2.87893 100
-500 -60 3.40984 100
-500 -70 4.17929 100
-500 -80 5.26024 100
-500 -90 6.81185 100
-500 -100 9.20519 100
-500 -110 10.9723 89
-500 -120 7.90708 74
-500 -130 7.98465 71
-500 -140 7.73688 68
-500 -150 7.19618 65
-600 0 2.12772 92
-600 -10 2.05585 94
-600 -20 2.70803 97
-600 -30 2.74731 99
-600 -40 2.37362 100
-600 -50 2.57034 100
-600 -60 2.83051 100
-600 -70 3.18121 100
-600 -80 3.70128 100
-600 -90 4.46122 100
-600 -100 5.53828 100
-600 -110 7.06915 100
-600 -120 9.44135 100
-600 -130 11.3832 90
-600 -140 9.2253 74
-600 -150 8.04093 67
-700 0 2.11209 85
-700 -10 2.0954 87
-700 -20 2.10114 89
-700 -30 2.1613 91
-700 -40 2.30518 93
-700 -50 2.36298 95
-700 -60 2.50119 97
-700 -70 2.8339 99
-700 -80 2.97138 100
-700 -90 3.35961 100
-700 -100 3.86034 100
-700 -110 4.53646 100
-700 -120 5.49287 100
-700 -130 6.84934 100
-700 -140 8.88025 100
-700 -150 12.8783 100
-800 0 2.31081 78
-800 -10 2.63891 80
-800 -20 2.44352 82
-800 -30 2.46663 84
-800 -40 2.66603 86
-800 -50 2.58877 88
-800 -60 2.90696 90
-800 -70 2.45435 91
-800 -80 2.65298 93
-800 -90 2.79084 94
-800 -100 3.08088 97
-800 -110 3.48062 98
-800 -120 3.85836 99
-800 -130 4.4909 99
-800 -140 5.31563 99
-800 -150 6.43929 99
-900 0 2.1069 72
-900 -10 2.17318 74
-900 -20 2.35835 76
-900 -30 2.63195 78
-900 -40 2.69024 80
-900 -50 2.88198 82
-900 -60 2.30758 83
-900 -70 2.43144 85
-900 -80 2.64487 87
-900 -90 2.77945 90
-900 -100 2.72717 91
-900 -110 3.08739 92
-900 -120 3.08153 93
-900 -130 3.40705 96
-900 -140 3.79039 96
-900 -150 4.32283 98
-1000 0 2.38315 67
-1000 -10 2.40521 69
-1000 -20 2.48235 71
-1000 -30 2.73513 73
-1000 -40 2.14663 74
-1000 -50 2.4632 76
-1000 -60 2.596 78
-1000 -70 2.31729 79
-1000 -80 2.52576 81
-1000 -90 2.95913 83
-1000 -100 2.48643 84
-1000 -110 2.66892 86
-1000 -120 3.07693 88
-1000 -130 2.96701 90
-1000 -140 3.28389 91
-1000 -150 3.34476 92
-1100 0 3.15576 63
-1100 -10 2.32856 64
-1100 -20 2.39539 66
-1100 -30 2.56463 68
-1100 -40 3.01076 70
-1100 -50 2.28569 71
-1100 -60 2.65001 73
-1100 -70 2.36939 74
-1100 -80 2.44442 76
-1100 -90 2.37735 77
-1100 -100 2.96137 79
-1100 -110 2.49207 80
-1100 -120 2.56511 82
-1100 -130 2.62505 83
-1100 -140 2.83709 85
-1100 -150 2.86446 86
-1200 0 2.2461 58
-1200 -10 2.01417 59
-1200 -20 2.29647 61
-1200 -30 2.35487 63
-1200 -40 2.99774 65
-1200 -50 3.24639 67
-1200 -60 2.44535 68
-1200 -70 2.21829 69
-1200 -80 2.44641 71
-1200 -90 3.0209 73
-1200 -100 2.41791 74
-1200 -110 2.99282 76
-1200 -120 2.59672 77
-1200 -130 2.48205 78
-1200 -140 2.71635 80
-1200 -150 2.67377 81
-1300 0 2.58105 54
-1300 -10 3.2123 56
-1300 -20 2.44326 57
-1300 -30 2.74524 59
-1300 -40 3.06003 61
-1300 -50 3.14597 62
-1300 -60 3.1285 64
-1300 -70 2.8105 65
-1300 -80 3.10924 67
-1300 -90 2.62036 68
-1300 -100 2.96329 70
-1300 -110 2.78613 71
-1300 -120 2.36866 72
-1300 -130 2.75741 74
-1300 -140 2.62995 75
-1300 -150 3.19616 77
-1400 0 3.49189 51
-1400 -10 3.50598 53
-1400 -20 2.64282 54
-1400 -30 2.17691 55
-1400 -40 2.35827 56
-1400 -50 2.3132 58
-1400 -60 3.31502 60
-1400 -70 3.30514 61
-1400 -80 2.412 62
-1400 -90 2.50449 64
-1400 -100 2.29755 65
-1400 -110 2.81898 67
-1400 -120 2.39225 68
-1400 -130 2.44876 69
-1400 -140 2.67879 71
-1400 -150 2.46255 72
-1500 0 3.32885 46
-1500 -10 2.54442 47
-1500 -20 2.72815 49
-1500 -30 3.48142 51
-1500 -40 2.97637 52
-1500 -50 3.32069 54
-1500 -60 2.86067 55
-1500 -70 2.55921 56
-1500 -80 2.75033 58
-1500 -90 2.66295 59
-1500 -100 2.4791 60
-1500 -110 2.51591 62
-1500 -120 2.55964 63
-1500 -130 2.34038 64
-1500 -140 2.53636 66
-1500 -150 2.6715 67
