# V_L3 Treffer
0 41
-20 44
-40 43
-60 43
-80 41
-100 40
-120 37
-140 34
-160 32
-180 32
-200 28
-220 28
-240 25
-260 25
-280 25
-300 24
-320 24
-340 23
-360 22
-380 22
-400 22
-420 22
-440 21
-460 21
-480 21
-500 21
-520 20
-540 19
-560 20
-580 20
-600 19
-620 20
-640 19
-660 20
-680 19
-700 20
-720 20
-740 20
-760 20
-780 19
-800 20
-820 19
-840 19
-860 20
-880 19
-900 20
-920 20
-940 20
-960 20
-980 20
-1000 21
-1020 21
-1040 21
-1060 21
-1080 21
-1100 21
-1120 21
-1140 22
-1160 22
-1180 22
-1200 22
-1220 22
-1240 22
-1260 22
-1280 22
-1300 23
-1320 23
-1340 24
-1360 22
-1380 24
-1400 24
-1420 25
-1440 25
-1460 25
-1480 25
-1500 25
-1520 25
-1540 25
-1560 25
-1580 25
-1600 26
-1620 26
-1640 27
-1660 28
-1680 28
-1700 28
-1720 28
-1740 28
-1760 27
-1780 28
-1800 28
-1820 30
-1840 30
-1860 30
-1880 30
-1900 30
-1920 31
-1940 30
-1960 31
-1980 31
-2000 32
-2020 32
-2040 32
-2060 33
-2080 33
-2100 32
-2120 33
-2140 34
-2160 34
-2180 36
-2200 35
-2220 35
-2240 36
-2260 35
-2280 37
-2300 35
-2320 37
-2340 36
-2360 38
-2380 37
-2400 37
-2420 37
-2440 36
-2460 38
-2480 38
-2500 37
-2520 37
-2540 37
-2560 38
-2580 37
-2600 37
-2620 36
-2640 36
-2660 36
-2680 36
-2700 36
-2720 36
-2740 36
-2760 36
-2780 36
-2800 35
-2820 35
-2840 35
-2860 34
-2880 34
-2900 34
-2920 34
-2940 33
-2960 33
-2980 33
-3000 33
